time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-01-22 00:00:00+00:00,8,3,12,2
2021-01-23 00:00:00+00:00,50,16,130,4
2021-01-24 00:00:00+00:00,3,3,6,4
2021-01-25 00:00:00+00:00,83,17,129,6
2021-01-26 00:00:00+00:00,46,20,336,65
2021-01-27 00:00:00+00:00,23,21,289,107
2021-01-28 00:00:00+00:00,17,13,54,27
2021-01-29 00:00:00+00:00,26,21,55,25
2021-01-30 00:00:00+00:00,2,2,25,11
2021-01-31 00:00:00+00:00,61,22,85,8
2021-02-01 00:00:00+00:00,103,20,176,19
2021-02-02 00:00:00+00:00,77,55,107,25
2021-02-03 00:00:00+00:00,340,128,84,21
2021-02-04 00:00:00+00:00,284,113,179,26
2021-02-05 00:00:00+00:00,542,149,153,12
2021-02-06 00:00:00+00:00,770,162,337,8
2021-02-07 00:00:00+00:00,685,144,28,7
2021-02-08 00:00:00+00:00,773,139,74,13
2021-02-09 00:00:00+00:00,778,127,235,16
2021-02-10 00:00:00+00:00,907,131,133,18
2021-02-11 00:00:00+00:00,855,127,91,13
2021-02-12 00:00:00+00:00,842,114,125,12
2021-02-13 00:00:00+00:00,747,98,26,8
2021-02-14 00:00:00+00:00,687,86,24,10
2021-02-15 00:00:00+00:00,590,116,191,16
2021-02-16 00:00:00+00:00,784,112,61,18
2021-02-17 00:00:00+00:00,792,120,143,17
2021-02-18 00:00:00+00:00,1321,160,340,19
2021-02-19 00:00:00+00:00,2571,155,441,10
2021-02-20 00:00:00+00:00,2345,156,76,7
2021-02-21 00:00:00+00:00,2629,148,41,6
2021-02-22 00:00:00+00:00,3239,146,342,10
2021-02-23 00:00:00+00:00,2398,134,294,11
2021-02-24 00:00:00+00:00,1825,122,203,10
2021-02-25 00:00:00+00:00,1674,112,241,16
2021-02-26 00:00:00+00:00,1501,103,246,12
2021-02-27 00:00:00+00:00,2866,97,78,6
2021-02-28 00:00:00+00:00,2966,93,77,6
2021-03-01 00:00:00+00:00,2919,100,201,12
2021-03-02 00:00:00+00:00,3163,92,503,15
2021-03-03 00:00:00+00:00,3175,104,187,14
2021-03-04 00:00:00+00:00,3213,128,212,12
2021-03-05 00:00:00+00:00,2765,130,106,25
2021-03-06 00:00:00+00:00,2721,116,6,5
2021-03-07 00:00:00+00:00,2709,100,44,5
2021-03-08 00:00:00+00:00,2152,100,155,6
2021-03-09 00:00:00+00:00,2104,116,251,18
2021-03-10 00:00:00+00:00,1952,133,84,7
2021-03-11 00:00:00+00:00,1705,120,249,7
2021-03-12 00:00:00+00:00,2461,120,48,9
2021-03-13 00:00:00+00:00,3096,123,107,8
2021-03-14 00:00:00+00:00,2994,118,28,6
2021-03-15 00:00:00+00:00,2179,98,44,14
2021-03-16 00:00:00+00:00,2084,118,77,12
2021-03-17 00:00:00+00:00,3006,128,153,9
2021-03-18 00:00:00+00:00,3004,141,208,14
